timestamp,municipality_id,usage,total_capacity
6/4/2017 7:59,9,454,1332
6/4/2017 7:59,8,556,2947
6/4/2017 7:59,4,1090,3893
6/4/2017 7:59,0,204,2813
6/4/2017 7:59,7,718,2019
6/4/2017 7:59,5,70,587
6/4/2017 7:59,2,273,697
6/4/2017 7:59,1,129,397
6/4/2017 7:59,6,597,3113
6/4/2017 7:59,3,623,1930
6/4/2017 8:25,2,311,697
6/4/2017 8:25,9,487,1332
6/4/2017 8:25,6,687,3113
6/4/2017 8:25,7,789,2019
6/4/2017 8:25,4,1476,3893
6/4/2017 8:25,8,674,2947
6/4/2017 8:25,5,73,587
6/4/2017 8:25,3,770,1930
6/4/2017 8:25,0,247,2813
6/4/2017 8:25,1,138,397
6/4/2017 8:59,5,89,587
6/4/2017 8:59,9,527,1332
6/4/2017 8:59,3,967,1930
6/4/2017 8:59,2,355,697
6/4/2017 8:59,1,164,397
6/4/2017 8:59,8,857,2947
6/4/2017 8:59,4,2016,3893
6/4/2017 8:59,7,873,2019
6/4/2017 8:59,6,801,3113
6/4/2017 8:59,0,332,2813
6/4/2017 9:32,8,1045,2947
6/4/2017 9:32,9,599,1332
6/4/2017 9:32,6,941,3113
6/4/2017 9:32,4,2511,3893
6/4/2017 9:32,0,429,2813
6/4/2017 9:32,5,116,587
6/4/2017 9:32,1,213,397
6/4/2017 9:32,2,423,697
6/4/2017 9:32,7,1013,2019
6/4/2017 9:32,3,1130,1930
6/4/2017 9:59,5,159,587
6/4/2017 9:59,2,494,697
6/4/2017 9:59,8,1172,2947
6/4/2017 9:59,4,2811,3893
6/4/2017 9:59,7,1151,2019
6/4/2017 9:59,3,1263,1930
6/4/2017 9:59,1,245,397
6/4/2017 9:59,0,485,2813
6/4/2017 9:59,9,666,1332
6/4/2017 9:59,6,1061,3113
6/4/2017 10:26,1,273,397
6/4/2017 10:26,3,1333,1930
6/4/2017 10:26,5,186,587
6/4/2017 10:26,2,539,697
6/4/2017 10:26,9,724,1332
6/4/2017 10:26,0,534,2813
6/4/2017 10:26,6,1151,3113
6/4/2017 10:26,4,3044,3893
6/4/2017 10:26,7,1254,2019
6/4/2017 10:26,8,1266,2947
6/4/2017 10:59,4,3178,3893
6/4/2017 10:59,9,800,1332
6/4/2017 10:59,2,582,697
6/4/2017 10:59,8,1363,2947
6/4/2017 10:59,7,1373,2019
6/4/2017 10:59,0,583,2813
6/4/2017 10:59,6,1219,3113
6/4/2017 10:59,3,1396,1930
6/4/2017 10:59,5,228,587
6/4/2017 10:59,1,317,397
6/4/2017 11:25,4,3230,3893
6/4/2017 11:25,0,597,2813
6/4/2017 11:25,6,1250,3113
6/4/2017 11:25,8,1378,2947
6/4/2017 11:25,2,613,697
6/4/2017 11:25,7,1433,2019
6/4/2017 11:25,9,829,1332
6/4/2017 11:25,1,333,397
6/4/2017 11:25,3,1437,1930
6/4/2017 11:25,5,256,587
